,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
39,11095693,2,4/29/2016 0:00,4/29/2016 0:16,2,2.58,-73.98847961,40.72157287597656,1,N,-73.98055267,40.75138092041016,1,12,0.5,0.5,1,0,0.3,14.3
40,11095694,2,4/29/2016 0:00,4/29/2016 0:08,1,2.36,-73.98566437,40.73826599121094,1,N,-73.99806213,40.760738372802734,1,9,0.5,0.5,2.06,0,0.3,12.36
41,11095695,1,4/29/2016 0:00,4/29/2016 0:21,1,4.2,-73.98313141,40.77111053466797,1,N,-74.01074219,40.72019577026367,1,17,0.5,0.5,2,0,0.3,20.3
42,11095696,1,4/29/2016 0:00,4/29/2016 0:04,1,0.6,-73.99306488,40.74287796020508,1,N,-73.98278809,40.73939514160156,1,5,0.5,0.5,1.25,0,0.3,7.55
43,11095697,1,4/29/2016 0:00,4/29/2016 0:07,2,1.2,-73.98589325,40.73501586914063,1,N,-73.98825073,40.74587631225585,1,7,0.5,0.5,1.65,0,0.3,9.95
44,11095698,1,4/29/2016 0:00,4/29/2016 0:02,1,0.4,-73.98432159,40.74323272705078,1,N,-73.98053741,40.74840927124024,1,4,0.5,0.5,0.1,0,0.3,5.4
45,11095699,2,4/29/2016 0:00,4/29/2016 0:08,1,1.49,-74.00298309,40.74948501586913,1,N,-74.00146484,40.73601150512695,1,8,0.5,0.5,1.86,0,0.3,11.16
46,11095700,2,4/29/2016 0:00,4/29/2016 0:03,1,0.73,-73.97939301,40.78356170654297,1,N,-73.98780823,40.77947998046875,1,5,0.5,0.5,1.26,0,0.3,7.56
47,11095701,2,4/29/2016 0:00,4/29/2016 0:08,3,2.25,-73.97239685,40.749420166015625,1,N,-73.98874664,40.72291564941406,2,9,0.5,0.5,0,0,0.3,10.3
48,11095702,1,4/29/2016 0:00,4/29/2016 0:19,1,9.5,-73.99167633,40.68490982055664,1,N,-73.94978333,40.77973556518555,2,27,0.5,0.5,0,0,0.3,28.3
49,11095703,1,4/29/2016 0:00,4/29/2016 0:18,2,6.4,-73.94002533,40.75068664550781,1,N,-73.85023499,40.72818756103516,1,21.5,0.5,0.5,2.28,0,0.3,25.08
50,11095704,2,4/29/2016 0:00,4/29/2016 0:02,2,1.02,-73.97614288,40.786075592041016,1,N,-73.96724701,40.79858398,1,5,0.5,0.5,1.58,0,0.3,7.88
51,11095705,2,4/29/2016 0:00,4/29/2016 0:12,2,2.15,-73.98535156,40.74763107299805,1,N,-73.98488617,40.76718521118164,2,10.5,0.5,0.5,0,0,0.3,11.8
52,11095706,2,4/29/2016 0:00,4/29/2016 0:02,2,0.87,-73.98847961,40.76914978027344,1,N,-73.98161316,40.780120849609375,1,4.5,0.5,0.5,1.45,0,0.3,7.25
53,11095707,1,4/29/2016 0:00,4/29/2016 0:04,1,1.1,-73.95821381,40.72162628173828,1,N,-73.95848846,40.735389709472656,1,5.5,0.5,0.5,1.7,0,0.3,8.5
54,11095708,1,4/29/2016 0:00,4/29/2016 0:12,2,3.6,-73.97670746,40.76477051,1,N,-73.91970825,40.74678421020508,1,13,0.5,0.5,2.85,0,0.3,17.15
55,11095709,1,4/29/2016 0:00,4/29/2016 0:18,1,7,-73.97328186,40.76380920410156,1,N,-73.99198151,40.69973373413085,1,22,0.5,0.5,6.99,0,0.3,30.29
56,11095710,2,4/29/2016 0:00,4/29/2016 0:05,6,1.47,-73.92398071,40.69950866699219,1,N,-73.91723633,40.68333817,2,6.5,0.5,0.5,0,0,0.3,7.8
57,11095711,2,4/29/2016 0:00,4/29/2016 0:03,1,0.73,-73.97581482,40.74891281,1,N,-73.9743576,40.75740432739258,1,4.5,0.5,0.5,8.88,0,0.3,14.68
58,11095712,1,4/29/2016 0:00,4/29/2016 0:02,1,0.8,-74.00557709,40.745960235595696,1,N,-73.99756622,40.75387191772461,1,4.5,0.5,0.5,1.15,0,0.3,6.95
59,11095713,1,4/29/2016 0:00,4/29/2016 0:25,1,9.5,-73.87324524,40.77416229248047,1,Y,-74.00093842,40.74730301,1,29.5,0.5,0.5,7.25,5.54,0.3,43.59
60,11095714,2,4/29/2016 0:00,4/29/2016 0:06,6,2,-73.97395325,40.76040649414063,1,N,-73.95587921,40.78288269042969,2,8,0.5,0.5,0,0,0.3,9.3
61,11095715,2,4/29/2016 0:00,4/29/2016 0:35,2,11.09,-73.98008728,40.75473785400391,1,N,-73.96401215,40.64407730102539,1,36,0.5,0.5,5,0,0.3,42.3
62,11095716,1,4/29/2016 0:00,4/29/2016 0:18,1,4.9,-73.98951721,40.74555206298828,1,N,-74.00804138,40.70542907714844,1,18.5,0.5,0.5,0.99,0,0.3,20.79
63,11095717,2,4/29/2016 0:00,4/29/2016 0:06,1,1.58,-73.9830246,40.75597381591797,1,N,-73.96417236,40.76294708251953,1,7,0.5,0.5,1.66,0,0.3,9.96
64,11095718,1,4/29/2016 0:00,4/29/2016 0:19,1,7,-74.01664734,40.70478057861328,1,N,-73.97763062,40.76465988,1,23,0.5,0.5,2.7,0,0.3,27
65,11095719,1,4/29/2016 0:00,4/29/2016 0:14,1,2,-73.99788666,40.74083328,1,N,-73.98730469,40.72197723388672,1,11.5,0.5,0.5,3,0,0.3,15.8
66,11095720,2,4/29/2016 0:00,4/29/2016 0:04,2,0.97,-73.95085907,40.72395706176758,1,N,-73.95537567,40.73790740966797,2,5.5,0.5,0.5,0,0,0.3,6.8
67,11095721,2,4/29/2016 0:00,4/29/2016 0:08,3,1.93,-73.96347809,40.77451705932617,1,N,-73.98065948,40.78813552856445,1,8.5,0.5,0.5,1.96,0,0.3,11.76
68,11095722,2,4/29/2016 0:00,4/29/2016 0:16,5,2.02,-73.98976135,40.73849868774415,1,N,-73.99060059,40.71585083007813,1,11.5,0.5,0.5,2,0,0.3,14.8
69,11095723,2,4/29/2016 0:00,4/29/2016 0:16,2,3.93,-73.98804474,40.75452041625977,1,N,-74.00714111,40.70466613769531,1,14.5,0.5,0.5,3.16,0,0.3,18.96
70,11095724,2,4/29/2016 0:00,4/29/2016 0:18,1,6.44,-73.98281097,40.72698211669922,1,N,-73.97162628,40.68752289,1,20.5,0.5,0.5,4.36,0,0.3,26.16
71,11095725,1,4/29/2016 0:00,4/29/2016 0:18,1,3.9,-73.99034119,40.71783828735352,1,N,-73.97599792,40.689361572265625,1,15.5,0.5,0.5,0,0,0.3,16.8
72,11095726,1,4/29/2016 0:00,4/29/2016 0:04,2,1,-73.9914093,40.75994110107422,1,N,-73.98565674,40.75033950805664,2,5.5,0.5,0.5,0,0,0.3,6.8
73,11095727,2,4/29/2016 0:00,4/29/2016 0:11,1,1.59,-73.98697662,40.76123809814453,1,N,-73.97303772,40.749061584472656,1,9,0.5,0.5,1.2,0,0.3,11.5
74,11095728,2,4/29/2016 0:00,4/29/2016 0:06,1,0.88,-73.99398804,40.741790771484375,1,N,-74.00534058,40.74610137939453,2,6,0.5,0.5,0,0,0.3,7.3
75,11095729,2,4/29/2016 0:00,4/29/2016 0:18,1,2.38,-73.96180725,40.77102661132813,1,N,-73.98965454,40.757148742675774,1,13,0.5,0.5,0,0,0.3,14.3
76,11095730,2,4/29/2016 0:00,4/29/2016 0:25,1,6.49,-73.95935822,40.77418899536133,1,N,-73.89615631,40.72888184,1,23,0.5,0.5,1.7,0,0.3,26
77,11095731,1,4/29/2016 0:00,4/29/2016 0:08,1,1.4,-73.98607635,40.75846862792969,1,N,-73.98674011,40.75017547607422,1,7.5,0.5,0.5,2.2,0,0.3,11
78,11095732,2,4/29/2016 0:00,4/29/2016 0:13,1,2.06,-73.98360443,40.76305389404297,1,N,-73.9916687,40.74093627929688,1,10.5,0.5,0.5,2.36,0,0.3,14.16
79,11095733,2,4/29/2016 0:00,4/29/2016 0:10,1,1.62,-73.98347473,40.73835372924805,1,N,-73.98739624,40.75502014160156,1,8.5,0.5,0.5,1.96,0,0.3,11.76
80,11095734,2,4/29/2016 0:00,4/29/2016 0:16,3,3.68,-73.9908371,40.76423263549805,1,N,-73.97897339,40.72809600830078,1,14.5,0.5,0.5,3,0,0.3,18.8
81,11095735,2,4/29/2016 0:00,4/29/2016 0:20,1,5.28,-73.9901123,40.72918319702149,1,N,-73.94801331,40.79217147827149,2,18,0.5,0.5,0,0,0.3,19.3
82,11095736,1,4/29/2016 0:00,4/29/2016 0:13,2,2.7,-73.97418976,40.76182174682617,1,N,-73.99850464,40.72973633,2,11,0.5,0.5,0,0,0.3,12.3
83,11095737,1,4/29/2016 0:00,4/29/2016 0:15,1,4.5,-73.9561615,40.80340194702149,1,N,-73.97350311,40.75244903564453,2,16,0.5,0.5,0,0,0.3,17.3
84,11095738,2,4/29/2016 0:00,4/29/2016 0:09,1,0.96,-73.97787476,40.72524642944336,1,N,-73.98941803,40.71905517578125,2,7.5,0.5,0.5,0,0,0.3,8.8
